step,age_years,frailty,stem_cell_pool,ros_level,myeloid_bias,telomere_length,methylation_age,is_alive
23506,64.3559,0.847159,0.913317,0.604731,0.502244,0.936243,71.775154,true
23579,64.5558,0.849774,0.912707,0.606931,0.504838,0.933018,72.026894,true
23652,64.7556,0.852379,0.912094,0.609136,0.507440,0.929790,72.279190,true
23725,64.9555,0.854973,0.911479,0.611343,0.510048,0.926557,72.531487,true
23798,65.1554,0.857556,0.910862,0.613553,0.512662,0.923320,72.784058,true
23871,65.3552,0.860127,0.910243,0.615767,0.515282,0.920080,73.036911,true
23944,65.5551,0.862686,0.909620,0.617982,0.517909,0.916837,73.289764,true
24017,65.7550,0.865233,0.908996,0.620202,0.520542,0.913589,73.543167,true
24090,65.9548,0.867766,0.908369,0.622425,0.523181,0.910339,73.796577,true
24163,66.1547,0.870287,0.907740,0.624650,0.525826,0.907084,74.050255,true
24236,66.3546,0.872794,0.907108,0.626879,0.528478,0.903825,74.304222,true
24309,66.5544,0.875287,0.906473,0.629110,0.531136,0.900563,74.558189,true
24382,66.7543,0.877765,0.905837,0.631345,0.533800,0.897297,74.812706,true
24455,66.9541,0.880229,0.905198,0.633583,0.536470,0.894028,75.067230,true
24528,67.1540,0.882678,0.904556,0.635823,0.539146,0.890755,75.322029,true
24601,67.3539,0.885111,0.903912,0.638067,0.541828,0.887478,75.577110,true
24674,67.5537,0.887529,0.903266,0.640314,0.544517,0.884198,75.832199,true
24747,67.7536,0.889930,0.902617,0.642564,0.547211,0.880913,76.087837,true
24820,67.9535,0.892315,0.901966,0.644817,0.549912,0.877625,76.343475,true
24893,68.1533,0.894682,0.901313,0.647073,0.552619,0.874333,76.599411,true
